content_id,type,content,view_count,like_count,share_count,updated_at,created_at
XyZ4aBcD9e,facebook,오늘은 날씨가 정말 좋네요! 햇빛이 화사하게 비치고 있어서 밖에서 산책하며 즐거운 시간을 보내고 있어요. 🌞🚶‍♀️ #날씨좋아 #산책 #햇빛,1000,500,500,,
7pRtYqWxKz,facebook,"새로운 레스토랑에서 저녁을 먹었어요. 그들의 파스타는 정말 맛있었고, 분위기도 좋았어요! 다음 번에도 꼭 다시 방문할 거예요. 🍝🍷 #맛집 #음식 #저녁식사",1000,500,500,,
L3mN0oP1iQ,facebook,방금 새로운 책을 다 읽었어요. 이 소설은 정말 감동적이고 여운이 남는 내용이었어요. 다음 읽을 책을 골라야겠어요. 📚❤️ #독서 #책추천 #소설,1000,500,500,,
dV8fGhIu2J,facebook,오늘은 친구들과 함께 영화를 보러 갔어요. 그 영화는 웃음과 감동으로 가득 차 있었어요. 함께 있는 시간이 정말 즐거웠어요. 🎥🍿 #영화 #친구 #즐거운시간,1000,500,500,,
A6bC4DyZfE,facebook,요즘 드라이브를 정말 즐기고 있어요. 오늘은 산과 바다를 배경으로 아름다운 풍경을 감상하며 드라이브 투어를 즐겼어요. 🚗🏞️ #드라이브 #풍경 #산바다,1000,500,500,,
XyZ4aBcD10e,facebook,오늘은 날씨가 정말 좋네요! 햇빛이 화사하게 비치고 있어서 밖에서 산책하며 즐거운 시간을 보내고 있어요. 🌞🚶‍♀️ #날씨좋아 #산책 #햇빛,1000,500,500,,
8pRtYqWxKz,facebook,"새로운 레스토랑에서 저녁을 먹었어요. 그들의 파스타는 정말 맛있었고, 분위기도 좋았어요! 다음 번에도 꼭 다시 방문할 거예요. 🍝🍷 #맛집 #음식 #저녁식사",1000,500,500,,
L3mN0oP2iQ,facebook,방금 새로운 책을 다 읽었어요. 이 소설은 정말 감동적이고 여운이 남는 내용이었어요. 다음 읽을 책을 골라야겠어요. 📚❤️ #독서 #책추천 #소설,1000,500,500,,
dV8fGhIu3J,facebook,오늘은 친구들과 함께 영화를 보러 갔어요. 그 영화는 웃음과 감동으로 가득 차 있었어요. 함께 있는 시간이 정말 즐거웠어요. 🎥🍿 #영화 #친구 #즐거운시간,1000,500,500,,
XyZ4aBcD11e,facebook,요즘 드라이브를 정말 즐기고 있어요. 오늘은 산과 바다를 배경으로 아름다운 풍경을 감상하며 드라이브 투어를 즐겼어요. 🚗🏞️ #드라이브 #풍경 #산바다,1000,500,500,,
